Year,Temperature - (Celsius),Month,Rainfall - (MM)
1991,25.6446, Jan,190.005
1991,26.1602, Feb,46.0487
1991,27.5983, Mar,104.385
1991,28.2959, Apr,93.7386
1991,28.8801, May,120.135
1991,27.4718, Jun,121.056
1991,27.9029, Jul,55.55
1991,27.6349, Aug,109.3
1991,27.9709, Sep,68.8907
1991,26.4913, Oct,296.111
1991,25.9246, Nov,253.342
1991,25.4039, Dec,189.149
1992,25.3734, Jan,22.5443
1992,25.9564, Feb,0.80646
1992,26.8502, Mar,0.12066
1992,28.3309, Apr,62.2804
1992,28.1247, May,187.751
1992,28.0158, Jun,59.6955
1992,27.4083, Jul,129.297
1992,27.5082, Aug,74.5321
1992,27.1858, Sep,175.391
1992,26.7354, Oct,132.52
1992,25.905, Nov,413.931
1992,25.09, Dec,172.804
1993,25.0006, Jan,18.0839
1993,26.2579, Feb,39.0853
1993,27.3329, Mar,51.5969
1993,28.0135, Apr,88.4434
1993,28.2944, May,204.733
1993,27.9715, Jun,111.57
1993,27.4099, Jul,52.9163
1993,27.0508, Aug,42.1332
1993,27.5934, Sep,78.3175
1993,26.648, Oct,274.801
1993,25.774, Nov,386.495
1993,25.1727, Dec,417.227
1994,25.4482, Jan,123.08
1994,26.1233, Feb,187.779
1994,27.3805, Mar,65.9451
1994,27.8512, Apr,94.2527
1994,28.4909, May,118.221
1994,28.0645, Jun,15.1776
1994,27.7289, Jul,68.7082
1994,27.3835, Aug,59.1046
1994,27.4027, Sep,235.67
1994,26.2066, Oct,291.015
1994,25.7857, Nov,490.384
1994,25.7967, Dec,77.804
1995,25.7033, Jan,167.696
1995,26.2943, Feb,82.6222
1995,27.5927, Mar,22.4126
1995,27.8519, Apr,255.418
1995,27.9424, May,189.668
1995,27.9682, Jun,74.6494
1995,28.0418, Jul,54.7354
1995,27.4998, Aug,91.9007
1995,27.689, Sep,91.4116
1995,27.1585, Oct,256.033
1995,26.7411, Nov,191.904
1995,25.8252, Dec,82.9368
1996,25.6389, Jan,81.5571
1996,26.6445, Feb,121.993
1996,27.4987, Mar,1.91736
1996,27.9881, Apr,218.587
1996,29.057, May,62.8618
1996,27.2949, Jun,159.393
1996,27.5161, Jul,53.3526
1996,27.6244, Aug,133.413
1996,27.0756, Sep,178.324
1996,26.8442, Oct,205.423
1996,26.1885, Nov,360.655
1996,25.3359, Dec,163.043
1997,25.5168, Jan,5.9372
1997,26.1112, Feb,70.2563
1997,27.4462, Mar,30.8793
1997,28.0101, Apr,105.256
1997,28.3106, May,136.879
1997,28.4299, Jun,75.609
1997,28.2143, Jul,97.6636
1997,28.1179, Aug,79.1869
1997,27.2654, Sep,244.882
1997,26.7014, Oct,353.332
1997,26.2496, Nov,512.641
1997,26.425, Dec,213.45
1998,26.5099, Jan,102.778
1998,27.6931, Feb,5.17231
1998,28.5122, Mar,20.5592
1998,29.2202, Apr,32.2504
1998,29.0036, May,166.893
1998,28.5784, Jun,48.6077
1998,27.9849, Jul,115.253
1998,27.6454, Aug,66.4202
1998,27.8073, Sep,97.4867
1998,27.3811, Oct,124.17
1998,26.6844, Nov,244.984
1998,25.6669, Dec,435.216
1999,25.2463, Jan,167.949
1999,26.4737, Feb,195.153
1999,27.6841, Mar,35.6598
1999,27.732, Apr,198.879
1999,27.6487, May,90.1037
1999,27.3267, Jun,61.7474
1999,27.8276, Jul,20.8699
1999,27.6127, Aug,55.1051
1999,27.7981, Sep,181.712
1999,26.581, Oct,303.785
1999,26.2657, Nov,264.591
1999,25.5567, Dec,180.13
2000,25.4506, Jan,188.088
2000,26.2669, Feb,206.303
2000,27.3789, Mar,90.0532
2000,28.4612, Apr,96.4688
2000,28.749, May,55.668
2000,27.8349, Jun,68.3132
2000,27.8493, Jul,12.6149
2000,27.0985, Aug,188.858
2000,27.3143, Sep,202.737
2000,27.0873, Oct,137.706
2000,26.3983, Nov,240.112
2000,25.6695, Dec,187.233
2001,25.5592, Jan,207.315
2001,26.0311, Feb,63.4219
2001,27.9476, Mar,13.8331
2001,27.7461, Apr,245.086
2001,28.9975, May,31.2217
2001,27.8534, Jun,94.3483
2001,27.9794, Jul,57.756
2001,27.7406, Aug,12.3769
2001,27.7925, Sep,99.1515
2001,27.317, Oct,154.807
2001,26.6323, Nov,230.328
2001,25.8679, Dec,229.841
2002,25.9372, Jan,44.7502
2002,26.6605, Feb,62.6939
2002,27.9551, Mar,63.2302
2002,28.1033, Apr,178.816
2002,28.5698, May,157.285
2002,28.4583, Jun,46.7237
2002,28.388, Jul,26.2788
2002,27.8179, Aug,59.8201
2002,28.3195, Sep,63.7632
2002,26.9053, Oct,334.047
2002,26.1179, Nov,335.828
2002,25.4932, Dec,334.624
2003,25.6133, Jan,131.341
2003,26.6524, Feb,89.3675
2003,27.6224, Mar,118.795
2003,28.1773, Apr,123.127
2003,28.4739, May,140.582
2003,28.5343, Jun,75.4758
2003,27.9961, Jul,107.898
2003,27.8883, Aug,81.926
2003,28.0215, Sep,117.323
2003,27.266, Oct,158.514
2003,25.9543, Nov,447.32
2003,26.1331, Dec,20.7952
2004,26.2633, Jan,26.3301
2004,26.5499, Feb,73.9612
2004,27.8373, Mar,34.2032
2004,28.3534, Apr,128.133
2004,27.6419, May,251.451
2004,27.8563, Jun,78.1188
2004,27.8068, Jul,58.3425
2004,28.0779, Aug,85.8172
2004,26.9339, Sep,285.431
2004,26.552, Oct,353.653
2004,25.9968, Nov,273.835
2004,25.576, Dec,262.444
2005,25.8145, Jan,123.56
2005,26.8196, Feb,27.2115
2005,28.0694, Mar,58.6216
2005,27.6798, Apr,177.947
2005,28.4875, May,94.1865
2005,28.3034, Jun,32.3375
2005,27.7486, Jul,75.4852
2005,28.0052, Aug,32.9146
2005,27.6887, Sep,40.0793
2005,26.96, Oct,254.614
2005,25.4928, Nov,529.891
2005,25.5043, Dec,216.185
2006,25.0125, Jan,171.728
2006,26.2564, Feb,71.1903
2006,27.6313, Mar,174.097
2006,28.3647, Apr,102.363
2006,28.2774, May,64.5029
2006,28.2873, Jun,48.9105
2006,28.138, Jul,30.9329
2006,27.4999, Aug,117.347
2006,27.5399, Sep,179.995
2006,26.8398, Oct,439.029
2006,26.2518, Nov,492.779
2006,25.9509, Dec,223.484
2007,25.7832, Jan,183.559
2007,26.5757, Feb,28.1393
2007,27.5454, Mar,32.4065
2007,27.9083, Apr,227.41
2007,28.6625, May,69.7858
2007,27.9799, Jun,55.5805
2007,27.6967, Jul,81.1417
2007,27.4591, Aug,177.017
2007,27.3597, Sep,108.08
2007,26.6878, Oct,247.456
2007,26.3094, Nov,162.513
2007,25.5799, Dec,196.94
2008,25.5761, Jan,58.9211
2008,26.5849, Feb,115.767
2008,26.6574, Mar,260.719
2008,27.3718, Apr,166.941
2008,28.3363, May,49.5477
2008,27.9641, Jun,71.3787
2008,27.5868, Jul,91.2404
2008,27.3165, Aug,184.951
2008,27.6339, Sep,43.0614
2008,27.0472, Oct,309.852
2008,26.3136, Nov,315.345
2008,25.9432, Dec,309.234
2009,25.6476, Jan,69.7448
2009,26.4386, Feb,15.3257
2009,27.7928, Mar,147.57
2009,28.4075, Apr,148.893
2009,28.7107, May,50.1059
2009,27.9718, Jun,57.5663
2009,27.9773, Jul,44.8452
2009,27.9725, Aug,146.376
2009,27.5906, Sep,89.7702
2009,27.3993, Oct,173.963
2009,26.5881, Nov,508.884
2009,26.2227, Dec,184.647
2010,26.2127, Jan,74.3759
2010,26.9761, Feb,0.0061
2010,28.5881, Mar,0.01158
2010,29.0756, Apr,30.3783
2010,28.675, May,155.292
2010,28.2634, Jun,69.0184
2010,27.8433, Jul,115.574
2010,27.8411, Aug,50.1403
2010,27.6078, Sep,218.933
2010,27.5381, Oct,196.789
2010,26.4677, Nov,421.263
2010,25.5688, Dec,376.309
2011,25.4614, Jan,172.1
2011,26.228, Feb,165.237
2011,27.6595, Mar,59.7142
2011,27.7273, Apr,172.167
2011,28.6011, May,29.8665
2011,28.565, Jun,32.6891
2011,28.2023, Jul,51.0021
2011,27.8835, Aug,159.436
2011,27.714, Sep,35.486
2011,27.6472, Oct,225.146
2011,26.4297, Nov,285.192
2011,25.8657, Dec,167.485
2012,25.7302, Jan,76.8924
2012,26.6969, Feb,87.0357
2012,27.9898, Mar,90.9289
2012,28.4504, Apr,155.109
2012,28.5908, May,18.3307
2012,28.3203, Jun,35.4581
2012,28.4088, Jul,15.473
2012,27.9993, Aug,129.326
2012,27.9487, Sep,183.974
2012,27.2392, Oct,404.434
2012,26.9293, Nov,161.044
2012,26.0138, Dec,346.155
2013,25.8074, Jan,144.282
2013,26.4665, Feb,220.061
2013,27.7709, Mar,172.256
2013,28.8284, Apr,63.6717
2013,28.5585, May,161.21
2013,27.5953, Jun,56.7762
2013,27.4895, Jul,56.6103
2013,27.4261, Aug,40.6304
2013,27.4095, Sep,99.0012
2013,27.6416, Oct,120.348
2013,26.812, Nov,191.912
2013,25.737, Dec,136.289
2014,25.7599, Jan,87.3505
2014,26.5207, Feb,35.8188
2014,27.8556, Mar,63.0502
2014,28.4337, Apr,100.601
2014,28.5338, May,124.966
2014,29.1948, Jun,44.5216
2014,28.5237, Jul,64.2883
2014,27.6707, Aug,125.859
2014,27.6948, Sep,123.89
2014,27.0392, Oct,329.457
2014,26.1658, Nov,269.364
2014,25.7268, Dec,469.83
2015,26.0479, Jan,20.0361
2015,26.4847, Feb,156.837
2015,27.6221, Mar,93.9471
2015,27.8223, Apr,207.944
2015,28.2743, May,136.595
2015,28.3388, Jun,67.2425
2015,28.5128, Jul,87.851
2015,28.1308, Aug,146.705
2015,27.7243, Sep,234.278
2015,27.1464, Oct,312.42
2015,26.4391, Nov,397.961
2015,26.4942, Dec,245.399
2016,26.1549, Jan,40.0975
2016,27.3025, Feb,128.82
2016,28.5561, Mar,51.5737
2016,29.2301, Apr,88.5389
2016,28.3677, May,295.473
2016,28.1318, Jun,47.9459
2016,28.172, Jul,42.0513
2016,28.3109, Aug,3.41856
2016,28.0358, Sep,14.4
2016,27.8509, Oct,113.653
2016,26.5211, Nov,226.953
2016,26.1204, Dec,142.518
